filename,exposure,true,fixed_pred,fixed_threshold,fixed_correct,otsu_pred,otsu_threshold,otsu_correct,box_area
207386.png,backlit,yellow,off,127,False,green,59.0,False,45
207386.png,backlit,yellow,green,127,False,red,55.0,False,60
207390.png,backlit,red,off,127,False,red,50.0,True,36
207390.png,backlit,red,red,127,True,red,60.0,True,44
207458.png,backlit,red,off,127,False,red,64.0,True,50
207458.png,backlit,red,green,127,False,yellow,78.0,False,50
207458.png,backlit,red,red,127,True,red,110.0,True,32
207464.png,backlit,red,red,127,True,red,89.0,True,77
207464.png,backlit,red,red,127,True,red,88.0,True,104
207468.png,backlit,red,off,127,False,yellow,49.0,False,50
207468.png,backlit,red,red,127,True,red,107.0,True,60
207468.png,backlit,red,red,127,True,red,81.0,True,45
207484.png,backlit,red,red,127,True,red,121.0,True,60
207484.png,backlit,red,red,127,True,red,81.0,True,77
207512.png,backlit,red,green,127,False,yellow,77.0,False,91
207512.png,backlit,red,red,127,True,red,89.0,True,60
207542.png,backlit,red,red,127,True,red,96.0,True,88
207542.png,backlit,red,red,127,True,red,83.0,True,40
207544.png,backlit,red,off,127,False,red,47.0,True,40
207544.png,backlit,red,red,127,True,red,111.0,True,60
207544.png,backlit,red,red,127,True,yellow,88.0,False,36
207566.png,backlit,red,off,127,False,red,48.0,True,30
207566.png,backlit,red,red,127,True,red,90.0,True,21
207566.png,backlit,red,red,127,True,yellow,81.0,False,24
207642.png,backlit,red,red,127,True,red,91.0,True,21
207642.png,backlit,red,yellow,127,False,yellow,96.0,False,18
207642.png,backlit,red,red,127,True,red,113.0,True,21
207840.png,backlit,red,yellow,127,False,yellow,113.0,False,78
207840.png,backlit,red,red,127,True,red,106.0,True,78
207840.png,backlit,red,yellow,127,False,yellow,150.0,False,84
207840.png,backlit,red,yellow,127,False,yellow,145.0,False,120
207840.png,backlit,red,yellow,127,False,yellow,136.0,False,105
207858.png,backlit,red,yellow,127,False,yellow,106.0,False,112
207858.png,backlit,red,red,127,True,red,106.0,True,78
207858.png,backlit,red,yellow,127,False,yellow,156.0,False,96
207858.png,backlit,red,yellow,127,False,yellow,126.0,False,128
207858.png,backlit,red,yellow,127,False,yellow,142.0,False,119
207864.png,backlit,red,red,127,True,red,106.0,True,102
207864.png,backlit,red,red,127,True,red,113.0,True,84
207864.png,backlit,red,yellow,127,False,yellow,155.0,False,128
207864.png,backlit,red,yellow,127,False,yellow,133.0,False,144
207864.png,backlit,red,yellow,127,False,yellow,137.0,False,119
207882.png,backlit,red,red,127,True,red,111.0,True,152
207882.png,backlit,red,red,127,True,red,116.0,True,105
207882.png,backlit,red,yellow,127,False,yellow,145.0,False,126
207882.png,backlit,red,yellow,127,False,yellow,145.0,False,128
207882.png,backlit,red,yellow,127,False,yellow,132.0,False,152
207896.png,backlit,red,red,127,True,red,124.0,True,112
207896.png,backlit,red,yellow,127,False,yellow,130.0,False,162
207896.png,backlit,red,red,127,True,red,97.0,True,119
207896.png,backlit,red,red,127,True,red,111.0,True,75
207896.png,backlit,red,red,127,True,red,134.0,True,126
207902.png,backlit,red,red,127,True,red,95.0,True,105
207902.png,backlit,red,red,127,True,red,86.0,True,119
207902.png,backlit,red,yellow,127,False,yellow,128.0,False,200
207902.png,backlit,red,yellow,127,False,yellow,133.0,False,119
207902.png,backlit,red,yellow,127,False,yellow,126.0,False,162
207990.png,backlit,red,red,127,True,red,110.0,True,840
207990.png,backlit,red,yellow,127,False,yellow,101.0,False,264
207990.png,backlit,red,yellow,127,False,yellow,126.0,False,286
207990.png,backlit,red,red,127,True,red,131.0,True,364
207990.png,backlit,red,yellow,127,False,yellow,132.0,False,429
208038.png,backlit,red,red,127,True,red,126.0,True,1830
208038.png,backlit,red,yellow,127,False,red,141.0,True,392
208038.png,backlit,red,yellow,127,False,yellow,139.0,False,544
208038.png,backlit,red,yellow,127,False,yellow,128.0,False,544
208038.png,backlit,red,red,127,True,red,138.0,True,629
208072.png,backlit,red,red,127,True,red,128.0,True,3237
208072.png,backlit,red,red,127,True,red,125.0,True,510
208072.png,backlit,red,yellow,127,False,yellow,132.0,False,968
208072.png,backlit,red,yellow,127,False,yellow,134.0,False,640
208072.png,backlit,red,red,127,True,red,121.0,True,874
208114.png,backlit,red,yellow,127,False,yellow,123.0,False,6384
208114.png,backlit,red,red,127,True,red,117.0,True,702
208114.png,backlit,red,yellow,127,False,yellow,135.0,False,1127
208114.png,backlit,red,yellow,127,False,yellow,134.0,False,880
208114.png,backlit,red,red,127,True,red,115.0,True,1150
208128.png,backlit,red,red,127,True,red,129.0,True,7552
208128.png,backlit,red,yellow,127,False,yellow,127.0,False,684
208128.png,backlit,red,yellow,127,False,yellow,137.0,False,1225
208128.png,backlit,red,red,127,True,red,114.0,True,1012
208182.png,backlit,red,yellow,127,False,yellow,136.0,False,9179
208182.png,backlit,red,red,127,True,green,146.0,False,820
208182.png,backlit,red,yellow,127,False,yellow,140.0,False,1566
208182.png,backlit,red,yellow,127,False,yellow,136.0,False,1225
208184.png,backlit,red,yellow,127,False,yellow,137.0,False,8640
208184.png,backlit,red,yellow,127,False,yellow,146.0,False,760
208184.png,backlit,red,yellow,127,False,yellow,136.0,False,1404
208184.png,backlit,red,yellow,127,False,yellow,120.0,False,1127
208440.png,backlit,green,green,127,True,green,128.0,True,9792
208440.png,backlit,green,green,127,True,green,115.0,True,760
208440.png,backlit,green,green,127,True,green,134.0,True,1566
208440.png,backlit,green,green,127,True,green,129.0,True,1326
208482.png,backlit,green,green,127,True,green,125.0,True,17472
208482.png,backlit,green,green,127,True,green,110.0,True,966
208482.png,backlit,green,green,127,True,green,130.0,True,1624
208482.png,backlit,green,green,127,True,green,120.0,True,1375
208488.png,backlit,green,green,127,True,green,126.0,True,17745
208488.png,backlit,green,green,127,True,green,107.0,True,966
208488.png,backlit,green,green,127,True,green,135.0,True,1767
208488.png,backlit,green,green,127,True,green,116.0,True,1653
208492.png,backlit,green,green,127,True,green,125.0,True,20286
208492.png,backlit,green,green,127,True,green,118.0,True,945
208492.png,backlit,green,green,127,True,green,133.0,True,1708
208492.png,backlit,green,green,127,True,green,119.0,True,1596
208562.png,backlit,green,green,127,True,green,117.0,True,1950
208732.png,backlit,red,red,127,True,red,58.0,True,555
208732.png,backlit,off,green,127,False,green,70.0,False,518
208732.png,backlit,off,off,127,True,green,31.0,False,1830
208732.png,backlit,red,red,127,True,red,82.0,True,629
208732.png,backlit,off,off,127,True,off,23.0,True,330
208772.png,normal,red,red,127,True,red,93.0,True,946
208772.png,normal,red,green,127,False,green,70.0,False,900
208772.png,normal,green,green,127,True,green,133.0,True,836
208772.png,normal,off,off,127,True,off,22.0,True,665
208772.png,normal,green,green,127,True,green,118.0,True,4002
208794.png,normal,red,red,127,True,red,97.0,True,855
208794.png,normal,red,red,127,True,green,69.0,False,1050
208794.png,normal,green,green,127,True,green,122.0,True,1122
208794.png,normal,off,off,127,True,off,24.0,True,946
208794.png,normal,off,green,127,False,green,48.0,False,5952
208796.png,normal,red,red,127,True,red,90.0,True,1104
208796.png,normal,red,red,127,True,red,66.0,True,1071
208796.png,normal,off,green,127,False,green,39.0,False,5432
208796.png,normal,green,green,127,True,green,120.0,True,1173
208796.png,normal,off,off,127,True,off,24.0,True,900
208804.png,normal,red,red,127,True,red,93.0,True,1127
208804.png,normal,red,red,127,True,red,59.0,True,1113
208804.png,normal,green,green,127,True,green,127.0,True,1272
208804.png,normal,off,off,127,True,off,26.0,True,1056
208856.png,backlit,red,red,127,True,red,64.0,True,2072
208856.png,backlit,green,green,127,True,green,139.0,True,1292
208856.png,backlit,green,green,127,True,green,121.0,True,2541
211660.png,normal,red,red,127,True,red,111.0,True,170
211660.png,normal,red,red,127,True,red,126.0,True,144
211692.png,normal,red,red,127,True,red,144.0,True,180
211692.png,normal,red,red,127,True,red,119.0,True,220
211704.png,normal,red,yellow,127,False,yellow,133.0,False,189
211704.png,normal,red,red,127,True,red,87.0,True,240
211776.png,backlit,red,red,127,True,red,115.0,True,338
211776.png,backlit,red,yellow,127,False,yellow,127.0,False,225
211776.png,backlit,off,green,127,False,green,87.0,False,490
211820.png,backlit,red,red,127,True,red,118.0,True,392
211820.png,backlit,red,yellow,127,False,yellow,129.0,False,450
211820.png,backlit,red,yellow,127,False,red,74.0,True,216
211820.png,backlit,off,green,127,False,green,84.0,False,608
211900.png,backlit,red,red,127,True,red,101.0,True,592
211900.png,backlit,red,red,127,True,red,72.0,True,198
211900.png,backlit,red,red,127,True,red,111.0,True,578
211900.png,backlit,off,green,127,False,green,89.0,False,920
211900.png,backlit,green,off,127,False,green,51.0,True,200
211906.png,backlit,red,red,127,True,red,113.0,True,578
211906.png,backlit,red,red,127,True,red,103.0,True,180
211906.png,backlit,red,yellow,127,False,yellow,128.0,False,595
211906.png,backlit,off,green,127,False,green,84.0,False,912
211906.png,backlit,green,off,127,False,green,51.0,True,200
211930.png,backlit,red,red,127,True,red,97.0,True,608
211930.png,backlit,red,red,127,True,red,108.0,True,480
211930.png,backlit,red,red,127,True,red,83.0,True,228
211930.png,backlit,off,green,127,False,green,80.0,False,864
211930.png,backlit,green,off,127,False,green,44.0,True,190
212516.png,backlit,green,green,127,True,green,117.0,True,684
212516.png,backlit,green,green,127,True,green,72.0,True,247
212516.png,backlit,green,green,127,True,green,98.0,True,480
212516.png,backlit,off,green,127,False,green,106.0,False,1100
212516.png,backlit,red,green,127,False,green,53.0,False,231
212540.png,backlit,green,green,127,True,green,130.0,True,740
212540.png,backlit,green,green,127,True,green,87.0,True,273
212540.png,backlit,green,green,127,True,green,115.0,True,476
212540.png,backlit,red,off,127,False,red,38.0,True,200
212540.png,backlit,off,green,127,False,green,100.0,False,1050
212540.png,backlit,red,off,127,False,yellow,40.0,False,171
212564.png,backlit,green,green,127,True,green,130.0,True,722
212564.png,backlit,green,green,127,True,green,87.0,True,510
212564.png,backlit,green,green,127,True,green,93.0,True,288
212564.png,backlit,red,off,127,False,green,42.0,False,210
212564.png,backlit,off,green,127,False,green,98.0,False,1100
212564.png,backlit,red,off,127,False,green,39.0,False,220
212650.png,backlit,green,green,127,True,green,135.0,True,1196
212650.png,backlit,green,green,127,True,green,76.0,True,350
212650.png,backlit,green,green,127,True,green,69.0,True,912
212650.png,backlit,red,green,127,False,green,97.0,False,286
212650.png,backlit,red,off,127,False,green,32.0,False,276
212656.png,backlit,green,green,127,True,green,118.0,True,1272
212656.png,backlit,green,green,127,True,green,70.0,True,360
212656.png,backlit,green,green,127,True,green,78.0,True,1120
212656.png,backlit,red,green,127,False,green,72.0,False,275
212656.png,backlit,red,off,127,False,off,32.0,False,230
212684.png,backlit,green,green,127,True,green,130.0,True,1586
212684.png,backlit,green,green,127,True,green,72.0,True,312
212684.png,backlit,green,green,127,True,green,92.0,True,1560
212684.png,backlit,red,green,127,False,green,90.0,False,406
212684.png,backlit,red,off,127,False,green,34.0,False,351
212688.png,backlit,green,green,127,True,green,106.0,True,1953
212688.png,backlit,green,green,127,True,green,71.0,True,390
212688.png,backlit,green,off,127,False,green,51.0,True,1357
212688.png,backlit,red,green,127,False,green,69.0,False,308
212688.png,backlit,red,off,127,False,green,36.0,False,351
212728.png,backlit,green,green,127,True,green,135.0,True,3600
212728.png,backlit,green,green,127,True,green,82.0,True,464
212728.png,backlit,green,green,127,True,green,84.0,True,198
212728.png,backlit,red,green,127,False,green,93.0,False,495
212728.png,backlit,red,off,127,False,green,34.0,False,420
212730.png,backlit,green,green,127,True,green,127.0,True,3325
212730.png,backlit,green,green,127,True,green,106.0,True,576
212730.png,backlit,green,green,127,True,green,89.0,True,220
212730.png,backlit,red,green,127,False,green,69.0,False,403
212730.png,backlit,red,off,127,False,off,34.0,False,416
212770.png,backlit,green,green,127,True,green,102.0,True,6164
212770.png,backlit,green,green,127,True,green,108.0,True,946
212770.png,backlit,green,green,127,True,green,103.0,True,308
212770.png,backlit,red,green,127,False,green,81.0,False,820
212770.png,backlit,red,green,127,False,green,98.0,False,585
212796.png,backlit,green,green,127,True,green,106.0,True,1032
212796.png,backlit,green,green,127,True,green,92.0,True,390
212796.png,backlit,red,green,127,False,green,68.0,False,900
212796.png,backlit,red,green,127,False,green,102.0,False,864
